event,gender,place,athlete,year,team,result,converted,meet,meet_date
100 Meters,m,1,"Demps, Jeff",SR-4,Florida,10.01,False,2012 Clyde Littlefield Texas Relays,2012-03-28
100 Meters,m,2,"Hardy, Jr., Prezel",SO-2,Texas A&M,10.03,False,Big 12 Outdoor Track & Field Championships,2012-05-11
100 Meters,m,3,"Hyman, Kemar",SR-4,Florida State,10.07,False,ACC Outdoor Track & Field Championships,2012-04-19
100 Meters,m,4,"Young, Isiah",,Mississippi,10.08,False,2012 Drake Relays,2012-04-25
100 Meters,m,5,"Brock, Keenan",SO-2,Auburn,10.09,False,Auburn War Eagle Invitational,2012-04-20
100 Meters,m,5,"Brown, Aaron",SO-2,USC,10.09,False,2012 Clyde Littlefield Texas Relays,2012-03-28
100 Meters,f,1,"Duncan, Kimberlyn",JR-3,LSU,10.94,False,2012 Clyde Littlefield Texas Relays,2012-03-28
100 Meters,f,2,"Gardner, English",,Oregon,11.00,False,Pac-12 Championships,2012-05-12
100 Meters,f,3,"Collier, Ashley",SO-2,Texas A&M,11.01,False,Big 12 Outdoor Track & Field Championships,2012-05-11
100 Meters,f,4,"Freeman, Octavious",SO,UCF,11.09,False,Conference USA Outdoor Championships,2012-05-11
100 Meters,f,4,"Hayes, Chelsea",SR-4,Louisiana Tech,11.09,False,2012 Clyde Littlefield Texas Relays,2012-03-28
200 Meters,m,1,"Mitchell, Maurice",SR-4,Florida State,20.08,False,2012 Pepsi Florida Relays (College/Open),2012-04-06
200 Meters,m,2,"Adams, Harry",JR-3,Auburn,20.10,False,Miami Hurricane Alumni Invitational,2012-04-14
200 Meters,m,3,"Young, Isiah",,Mississippi,20.32,False,SEC Outdoor Track & Field Championship,2012-05-10
200 Meters,m,3,"Jobodwana, Anaso",FR-1,Jackson State,20.32,False,Mississippi Open and Heptathlon,2012-04-14
200 Meters,m,5,"Hardy, Jr., Prezel",SO-2,Texas A&M,20.33,False,Big 12 Outdoor Track & Field Championships,2012-05-11
200 Meters,f,1,"Duncan, Kimberlyn",JR-3,LSU,22.12,False,SEC Outdoor Track & Field Championship,2012-05-10
200 Meters,f,2,"Hackett, Semoy",SR-4,LSU,22.74,False,SEC Outdoor Track & Field Championship,2012-05-10
200 Meters,f,3,"Peter, Allison",SO-2,Texas,22.77,False,Big 12 Outdoor Track & Field Championships,2012-05-11
200 Meters,f,4,"Freeman, Octavious",SO,UCF,22.80,False,2012 Pepsi Florida Relays (College/Open),2012-04-06
200 Meters,f,5,"Gardner, English",,Oregon,22.82,False,Pac-12 Championships,2012-05-12
400 Meters,m,1,"Roberts, Gil",SR-4,Texas Tech,45.04,True,Texas Tech Red Raider Open,2012-05-05
400 Meters,m,2,"Verburg, David",JR-3,George Mason,45.06,False,CAA Championships,2012-05-04
400 Meters,m,3,"Lendore, Deon",FR-1,Texas A&M,45.13,False,Big 12 Outdoor Track & Field Championships,2012-05-11
400 Meters,m,4,"Nellum, Bryshon",SR-4,USC,45.18,False,54th Annual Mt. SAC Relays,2012-04-19
400 Meters,m,5,"Gehret, Brady",SO-2,Penn State,45.22,False,Big Ten Outdoor Championship 2012,2012-05-11
400 Meters,f,1,"Spencer, Ashley",FR-1,Illinois,51.02,False,Big Ten Outdoor Championship 2012,2012-05-11
400 Meters,f,2,"Dixon, Diamond",,Kansas,51.09,False,Big 12 Outdoor Track & Field Championships,2012-05-11
400 Meters,f,3,"Wesh, Marlena",JR-3,Clemson,51.43,False,ACC Outdoor Track & Field Championships,2012-04-19
400 Meters,f,4,"Beckles, Kanika",JR-3,Texas A&M,51.72,False,Big 12 Outdoor Track & Field Championships,2012-05-11
400 Meters,f,5,"George, Regina",,Arkansas,51.79,False,SEC Outdoor Track & Field Championship,2012-05-10
800 Meters,m,1,"Jock, Charles",SR-4,UC Irvine,1:44.75,False,Big West Track & Field Championships,2012-05-11
800 Meters,m,2,"Martin, Ryan",SR-4,UC Santa Barbara,1:44.77,False,Big West Track & Field Championships,2012-05-11
800 Meters,m,3,"Loxsom, Casimir",,Penn State,1:46.12,False,Big Ten Outdoor Championship 2012,2012-05-11
800 Meters,m,4,"Preble, Michael",SR-4,Texas A&M,1:46.43,False,USC Trojan Invitational,2012-03-23
800 Meters,m,5,"Kemboi, Edward",,Iowa State,1:46.65,False,Big 12 Outdoor Track & Field Championships,2012-05-11
800 Meters,f,1,"Mackie, Nachelle",JR-3,BYU,2:01.11,False,54th Annual Mt. SAC Relays,2012-04-19
800 Meters,f,2,"Lipsey, Charlene",JR-3,LSU,2:02.60,False,SEC Outdoor Track & Field Championship,2012-05-10
800 Meters,f,3,"Price, Chanelle",SR-4,Tennessee,2:03.15,False,SEC Outdoor Track & Field Championship,2012-05-10
800 Meters,f,4,"King, Caroline",SR-4,Boston College,2:03.21,False,IC4A/ECAC Outdoor Track & Field Championships,2012-05-11
800 Meters,f,5,"Miller, Ashley",SR-4,Nebraska,2:03.33,False,33rd Sun Angel Classic - Invited College,2012-04-05
1500 Meters,m,1,"Lalang, Lawi",,Arizona,3:36.77,False,Payton Jordan Cardinal Invitational,2012-04-29
1500 Meters,m,2,"O'Hare, Chris",JR-3,Tulsa,3:37.95,False,Payton Jordan Cardinal Invitational,2012-04-29
1500 Meters,m,3,"van Ingen, Erik",SR-4,Binghamton,3:38.06,False,Virginia Challenge,2012-05-12
1500 Meters,m,4,"Leslie, Cory",SR-4,Ohio State,3:39.00,False,Payton Jordan Cardinal Invitational,2012-04-29
1500 Meters,m,5,"Hammond, Michael",SR,Virginia Tech,3:39.22,False,Payton Jordan Cardinal Invitational,2012-04-29
1500 Meters,f,1,"Piliusina, Natalja",,Oklahoma State,4:09.51,False,Payton Jordan Cardinal Invitational,2012-04-29
1500 Meters,f,2,"Flood, Katie",SO-2,Washington,4:11.66,False,54th Annual Mt. SAC Relays,2012-04-19
1500 Meters,f,3,"Infeld, Emily",JR-3,Georgetown,4:12.44,False,Virginia Challenge,2012-05-12
