event,gender,place,athlete,year,team,result,converted,meet,meet_date
60 Meters,m,1,"Williams, Micah",FR-1,Oregon,6.53,True,Championships at the Peak,2021-02-25
60 Meters,m,2,"Brathwaite, Rikkoi",JR-3,Indiana,6.55,False,Big Ten Indoor Track and Field Championships,2021-02-25
60 Meters,m,3,"Wright, Tavarius",SR-4,N. Carolina A&T,6.57,False,Tiger Paw Invite,2021-02-12
60 Meters,m,3,"James, Kasaun",SR-4,Florida State,6.57,False,Gamecock Opener,2021-01-16
60 Meters,m,3,"Ekevwo, Raymond",SR-4,Florida,6.57,False,Tyson Invitational,2021-02-12
60 Meters,f,1,"Terry, Twanisha",SR-4,USC,7.14,False,Wooo Pig Classic,2021-01-22
60 Meters,f,2,"Alfred, Julien",JR-3,Texas,7.15,False,Charlie Thomas Invitational,2021-02-06
60 Meters,f,2,"Lloyd, Joella",SO-2,Tennessee,7.15,False,SEC Indoor Track & Field Championships,2021-02-25
60 Meters,f,4,"Baylark, Jada",JR-3,Arkansas,7.18,False,SEC Indoor Track & Field Championships,2021-02-25
60 Meters,f,5,"Nelson, Kemba",JR-3,Oregon,7.19,False,Razorback Invitational,2021-01-29
200 Meters,m,1,"Laird, Terrance",SR-4,LSU,20.28,False,SEC Indoor Track & Field Championships,2021-02-25
200 Meters,m,2,"Fahnbulleh, Joseph",SO-2,Florida,20.32,False,SEC Indoor Track & Field Championships,2021-02-25
200 Meters,m,3,"Boling, Matthew",SO-2,Georgia,20.37,False,SEC Indoor Track & Field Championships,2021-02-25
200 Meters,m,4,"Harris, Micaiah",SR-4,Texas,20.45,True,Big 12 Indoor Track & Field Championships,2021-02-26
200 Meters,m,5,"Ross, Randolph",SO-2,N. Carolina A&T,20.50,False,Tiger Paw Invite,2021-02-12
200 Meters,f,1,"Steiner, Abby",JR-3,Kentucky,22.41,False,SEC Indoor Track & Field Championships,2021-02-25
200 Meters,f,2,"Flannel, Kynnedy",JR-3,Texas,22.62,True,Big 12 Indoor Track & Field Championships,2021-02-26
200 Meters,f,3,"Clark, Tamara",SR-4,Alabama,22.70,False,SEC Indoor Track & Field Championships,2021-02-25
200 Meters,f,4,"Ofili, Favour",FR-1,LSU,22.75,False,SEC Indoor Track & Field Championships,2021-02-25
200 Meters,f,5,"Battle, Anavia",SR-4,Ohio State,22.88,False,B1G Indoor T&F Invitational,2021-02-12
400 Meters,m,1,"Johnson, Tyler",JR-3,Ohio State,45.07,False,Big Ten Indoor Track and Field Championships,2021-02-25
400 Meters,m,2,"Ross, Randolph",SO-2,N. Carolina A&T,45.21,False,Tiger Paw Invite,2021-02-12
400 Meters,m,3,"Deadmon, Bryce",SR-4,Texas A&M,45.22,False,Tyson Invitational,2021-02-12
400 Meters,m,4,"Patterson, Jacory",JR-3,Virginia Tech,45.24,False,Tiger Paw Invite,2021-02-12
